id,topic,stance,substance,source,line
71,abortion,Pro,p-right,T22,people have the right to decide.
72,abortion,Pro,p-rape,T22,if a girl gets raped and becomes pregnant does she really want to carry that man's child?
73,abortion,Pro,p-mother_danger,T22,some women have serious conditions so if they do carry a child to term they could die in labor. this is not good and they should have an abortion to save their life.
74,abortion,Pro,p-not_human,K15," No brain = no life. We don't care about what might happen, we care about present reality."
75,abortion,Con,c-baby_right,K14,so what if it doesn't have a brain yet still is going to get one and still has a whole future in front of him/her.
76,abortion,Con,c-baby_right,Q6,your heart is a mass of tissue so why dont you suck that out and chuck it in the bin
77,abortion,Con,c-baby_right,R50,"Once a human  ""organism""  is made it is alive. Whither people like it or not it is fact that it is alive.  It moves, it eats, it grows, it thinks."
78,abortion,Con,c-kill,Q7,ABORTION = MINIATURE GENOCIDE.
79,abortion,Pro,p-not_human,R51,I think that most of us on the pro-choice side would agree that a woman's right to chose ends by the time a fetus reaches the stage where it eats or thinks.
80,abortion,Pro,p-not_human,N40,A fetus cannot reproduce at the moment of conception.
81,abortion,Pro,p-right,X4,"A women should be able to choose what happens with her body, especially concerning abortion and babies."
82,abortion,Pro,p-baby_ill_treatment,X4,"In reality, it's not that bad, but forcing a mother to give birth to an unwanted child is cruel, and with the human population this high, with plenty of orphans already, why make more?"
83,abortion,Pro,p-right,B43, never allowing a women to do something specific to her own body also isn't right.
84,abortion,Pro,p-not_human,B43," If we can only measure humanity by measuring consciousness, then that means, until a fetus has a developed brain with measurable brainwaves, it is only a mass of soulless meat.   It's a mass of meat until it exhibits brain waves for the same reason a severed arm is a mass of meat: just because it's made of human flesh and cells doesn't make it human. It has no consciousness, and therefore it has no soul."
85,abortion,Pro,p-not_human,G8,sometimes it is...there is a a type of pregnancy that kills the mother AND the fetus unless its aborted..
86,abortion,Pro,p-mother_danger,G8, sometimes it is...there is a a type of pregnancy that kills the mother AND the fetus unless its aborted
87,abortion,Con,c-kill,G17,Ending a life isn't cruel?
88,abortion,Con,c-kill,R27,"I agree that there are times when an abortion is necessary, but when one want's to kill over the fear of parenthood - that is when things are getting out of hand."
89,abortion,Con,c-baby_right,N37,"If it is an individual human being, it has all the rights and protections of all other human beings."
90,abortion,Pro,p-other,R26,Abortion is a serious matter and unfortunately there are cases in which an abortion is neccesary;
91,abortion,Con,c-kill,B34,Even today if a woman kills or tries to kill her unborn she can be tried.
92,abortion,Pro,p-right,Y17,Every mother should have the right to do what they want to do and what they think is best.
93,abortion,Con,c-other,Y16,It should not be used as a form of birth control.
94,abortion,Pro,p-rape,Y16,"BUT, then the issue of rape comes into play."
95,abortion,Pro,p-mother_danger,Y16,Along with the health of the mother at risk.
96,abortion,Con,c-sex,Y16,"If you don't want a child, don't have sex."
97,abortion,Con,c-baby_right,M5,"technically a fetus is indeed alive, a zygote is alive."
98,abortion,Pro,p-not_human,M4,"An unborn child has no reason; it has no choices to create over itself. No study has shown that an unborn child has ever been able to conduct its own decisions rather than its own instinctive actions.  -It has no emotion, no joy, sadness or pity."
99,abortion,Pro,p-right,M11,Who are any of you to decide what is right for a pregnant woman?
100,abortion,Pro,p-rape,M11,When a woman has been raped and impregnated she doesn't deserve to have the choice?
101,abortion,Pro,p-baby_ill_treatment,M11,We would have children being born into homes where they are unwanted
102,abortion,Pro,p-right,M10,People should be allowed to do whatever they like with there own body.
103,abortion,Pro,p-not_human,M10,"Abortion to me is no different than jizzing in a rag, sure there is potential that those cells could have made a person, but they aren't now and that they never will shouldn't bother anyone in the least."
104,abortion,Con,c-kill,G29, Abortion is murder and should not be given as a right to women
105,abortion,Pro,p-right,G28,"What matters to me is that abortion is a right women should have or continue to have, even if they became pregnant during consensual sex."
106,abortion,Pro,p-not_human,G28,"No, and neither can a fetus if you abort it."
107,abortion,Pro,p-not_murder,G28,"In America, the Supreme Court does not consider abortion to be murder."
108,abortion,Pro,p-right,J23,"Well really, it's they're choice what they wanna do."
109,abortion,Pro,p-not_human,J22,"The term ""human-being"" really only applies to humans that embody all the distinctions which are sufficient for moral agency. It is only then that we are truly identifiable as human-beings. a hand that is detached is not a human being, an eye, an ear, a heart, leg, etc... these are all just part of the whole, and even when assembled we are not yet a person unless we have the conscious element."
110,abortion,Pro,p-baby_ill_treatment,J22,"I think it is more responsible to abort a child that is unwanted and who's life will probably suck, than it is to not."
111,abortion,Con,c-kill,N15,"It is in the case of depriving someone else of their rights, like murder."
112,abortion,Con,c-baby_right,N15,"It's a separate human life form inside the woman's body, but it in no way is a part of her body."
113,abortion,Pro,p-right,T2, don't understand why we feel that we get to dictate what other people can do with their bodies.
114,abortion,Pro,p-baby_ill_treatment,T2,im sorry but i would much rather have my baby in heaven then on earth if i couldn't take care of it.
115,abortion,Pro,p-right,N14,It is the woman's body.  It is none of your business what another does with their body.
116,abortion,Con,c-adopt,T3,giving up your child for adoption is an act of love rather than hate
117,abortion,Con,c-other,T3,Most adopted children do not become suicidal. they might wonder about their biological parents but i wouldnt say they think that they hated them.
118,abortion,Con,c-baby_right,B16,"Rape is more iffy of course, but I don't think the child should have revenge taken out on them for being raped. The father who raped the women should suffer: not the child"
119,abortion,Pro,p-other,B16,I can understand it if the baby has a deformity that WILL actually hurt them in the future
120,abortion,Con,c-adopt,O7,I believe adoption is a good option.
121,abortion,Con,c-kill,O7,"However, it is immoral to abort always."
122,abortion,Con,c-sex,O7,Because the woman allowed the man to fertilize her egg.
123,abortion,Pro,p-not_human,M33,there are women who consider that thing growing in them for the first 3 months nothing more than a cluster of cells?
124,abortion,Con,c-sex,Y9,"Why should a mother have the right to dispose of her 'mistake'? Dont want a baby?, dont have sex!!!"
125,abortion,Pro,p-right,F4," the government should not force a citizen to sacrifice their right to bodily autonomy for the sake of another living thing, whether or not that living thing is a human."
126,abortion,Pro,p-right,Y8,every mothere should have her own desicon on whether or not they want to go through a pregancy.
127,abortion,Pro,p-not_human,Y8,For instance what if it wasnt a accident to have the child and the mother found out that her soon to be baby was special ed.
128,abortion,Con,c-kill,F5, I want to add that many childern have been killed because of abortion
129,abortion,Con,c-baby_right,F5,"What if you had gave them a chance to live, because they have this right to live"
130,abortion,Con,c-bad_4_mom,H1,it harms to the health of woman. Even in future this woman cannot have any babies.
131,abortion,Con,c-kill,H1, it is inmoral according to philosophy.
132,abortion,Pro,p-not_human,C21,It has no mind. It has no awareness.
133,abortion,Con,c-adopt,C20, just give the child to someone else.
134,abortion,Con,c-kill,C20,You are killing a living breathing human being
135,abortion,Con,c-bad_4_mom,O23,"When a woman has an abortion, she will always think about the baby she might have had. She will always think about the future that could have happened with her baby which will always remind her that she killed it. Because she has had an abortion, she will never have a good life, and her conscience will remind her of what she had done."
136,abortion,Con,c-kill,O23,Kill a baby is a crime.
137,abortion,Pro,p-right,M45,The ability of a woman to have control of her body is critical to civil rights.
138,abortion,Pro,p-birth_ctrl,M44,Pregnancy can occur even with responsible contraceptive use.
139,abortion,Pro,p-right,O22,A woman also has the right to decide what happens to her body.
140,abortion,Pro,p-rape,O22,Just imagine that a little girl was violenced by maniac and what must she do?
141,abortion,Pro,p-baby_ill_treatment,O22,"It is wrong to bring unwanted children into the world, because in the future this child will live and doesn't know what mother's love is."
142,abortion,Con,c-adopt,A3,"Please consider adoption. Did you know that 1 out of every 6 couples are infertile. Do the math, that's a lot of couples who want to have children and can't."
143,abortion,Con,c-kill,A3, that's what abortion does; it ends the life of a human being in the early stages of development.
144,abortion,Con,c-baby_right,A3,Now to your question of when do you begin to class a fetus as a human?  At the moment of conception. Because at that point you now have a complete and distinct human DNA in the cell. There is no way around this; humans produce humans and dogs produce dog
145,abortion,Con,c-baby_right,B28,The cell results from fertilization of an oocyte by a sperm and is the beginning of a human being.
146,abortion,Pro,p-not_human,A2,I personally would not think of it as a human untill about 12 weeks
147,abortion,Pro,p-rape,A2,"  So a thirteen year old girl gets raped, and you're saying that the govenrment have the right to force that girl to keep her unwanted baby?"
148,abortion,Pro,p-birth_ctrl,A2," If contraception can't garrentee that i won't get pregnant, I definately want the choice to have an abortion if i needed one"
149,abortion,Pro,p-baby_ill_treatment,A2," think of the number of children that would end up in care if abortion was banned. There are enough of them already, the banning of abortion would most definately increase this number,"
150,abortion,Pro,p-not_human,P15,An unborn fetus is not a human.
151,abortion,Pro,p-baby_ill_treatment,S5,"but there is also the fact that why should a baby that nobody wanted be born, when the parents dont want them to be around?"
152,abortion,Pro,p-right,S4,its also the mother's choice
153,abortion,Pro,p-rape,S4,what about those who are raped and unfortunate with a baby of that specific person.
154,abortion,Pro,p-birth_ctrl,S4,"all an abortion is, is preventing a baby from being born into the world. if thats the case, then what are we doing by using birth control or condoms. we are preventing a baby from being born into the world."
155,abortion,Pro,p-not_human,T49,"It has no brains. It isn't a child yet, because it isn't born."
156,abortion,Con,c-baby_right,T48,"I see the zygote as human life. Not a cell that is part of a mammal. The zygote, if allowed to continue growing naturally, will become a human being."
157,abortion,Con,c-sex,Y3, if you don't want to get pregnant why are you having sexual activity
158,abortion,Con,c-adopt,Q29,if you say for instance get raped or the condom breaks give the baby up for adoption
159,abortion,Con,c-kill,Q29,you are taking a life away even if the baby is not alive
160,abortion,Pro,p-mother_danger,M38,"Many a times, abortion helps to safeguard women's health. There are many women, who suffer from various hazardous medical conditions such as heart disease, kidney disease, severe hypertension, sickle-cell anemia, severe diabetes, etc. As these diseases can be life-threatening, an abortion often helps to avoid serious medical complications from childbirth."
161,abortion,Con,c-kill,Q28,I am against abortion because it is practically kill the baby inside the womb. And that is a innocent child in the womb if you decide to abort the child you are basically committing murder and destroying a innocent life.
162,abortion,Pro,p-not_human,M39,"As it is attached by the placenta and umbilical cord, its health is dependent on her health, and cannot be regarded as a separate entity as it cannot exist outside her womb."
163,abortion,Pro,p-not_human,P21,early abortions you are removing a small fetus that lacks a brain but has a underdeveloped nervous systems which is why they move when abortion apparatus is inserted.
164,abortion,Con,c-baby_right,P21,"Saying that, late term abortions are appalling a fully developed baby is being murdered, developed brain, developed nervous system and developed lil hands."
165,abortion,Pro,p-right,P1,"Making abortions illegal has been shown to force rape victims and young girls, many of whom are practically babies themselves, to seek dangerous means for having an abortion, resulting in more deaths."
166,abortion,Pro,p-not_human,P1,In all instances abortion is legal except extreme circumstance we know scientifically beyond doubt (despite christian blitz misinformation campaign on the subject) that the cluster of cells is not self-aware and is not capable of feeling pain.
167,abortion,Pro,p-other,P1,"If one side is not forcing one to abort, what gives another a right to force another not to abort?"
168,abortion,Pro,p-rape,P20,It's simply being humane to rape-victims
169,abortion,Con,c-kill,O17,No abortion is wrong.
170,abortion,Con,c-kill,B7,"And that is what abortion is...whether its in the first month...or ninth, its killing."
171,abortion,Con,c-baby_right,B7,"that which is in the womb is human, is alive and is a growing person."
172,abortion,Con,c-sex,B7,It got there sissy because she opened her legs and allowed sperm to swim inside her.
173,abortion,Pro,p-right,B6,A woman can abort for whatever reason she likes
174,abortion,Pro,p-not_human,T43,"It doesn't matter if it will someday have emotions, presently it doesn't and is therefore judged as being less than human at this point."
175,abortion,Con,c-bad_4_mom,E1,"Women who have abortions often suffer major psychological damage from the experience along with, in some cases, the father of the child."
176,abortion,Con,c-other,E1,"Other birth control is readily available; thus, abortion shouldn't be a form of birth control."
177,abortion,Con,c-kill,E1,Abortion is a form of murder and demeans the value of human life.
178,abortion,Con,c-baby_right,E1,The societal contributions of a potentially valuable human being are wiped out.
179,abortion,Con,c-kill,B23,it's suddenly perfectly okay to kill an unborn child
180,abortion,Con,c-baby_right,B23,Since when is it acceptable for people say that because it's not 'quite human' we can just do whatever the heck we want with it?  The logic of something needing to PROVE that it has a right to live is just sick.
181,abortion,Con,c-kill,B22,Abortion in general is wrong in the sense of life being erased.
182,abortion,Pro,p-not_human,A8,"Before it reaches a certain stage in development, it'd still only be a potential and it shouldn't have any rights whatsoever."
183,abortion,Pro,p-right,O29,"If someone is using your body as a life support machine, don't you think you should have the right to decide if they continue to do so?"
184,abortion,Con,c-baby_right,O28,"If every human being( irregardless of if they are human ""persons"") has the right to life and to what happens to their body, then a fetus, by being a human being, also has those rights."
185,abortion,Pro,p-rape,E11,I think if you get raped and you get pregnant.
186,abortion,Pro,p-not_human,I13,I personally don't consider the fetus to be living
187,abortion,Pro,p-not_murder,I13," And it's considerably different to kill someone who already is living a life, than a fetus that simply has the possibility to live a life."
188,abortion,Con,c-kill,I12,"If it is alive, then destroying it would be murder."
189,abortion,Pro,p-mother_danger,N21,I am prochoice when the mother's life is in danger and the baby is to young to survive.
190,abortion,Pro,p-right,R30,Should women who don't want kids have them anyway out of guilt for people who can't?
191,abortion,Pro,p-rape,N20,"As for rape and incest, I don't know if I will ever believe that abortion shouldn't be allowed in those cases."
192,abortion,Con,c-baby_right,R31,"It is not a problem, it is a life."
193,abortion,Con,c-sex,T39,"Maybe those ""young mothers"" should have kept their legs shut if they didn't want a baby."
194,abortion,Pro,p-right,T38,"Even if you somehow managed make it illegal, guess what, there would still be just as many abortions.  The only difference is that they will get abortions in dirty basements like they did before it was legal, and more mothers would die."
195,abortion,Pro,p-not_human,T38,"It has no more feelings or emotions than this keypad I'm typing on until the 3rd trimester, and then about as much feeling and emotion as a grasshopper."
196,abortion,Pro,p-right,B10,I don't believe anyone should be  forced  to have an abortion it's their  choice .
197,abortion,Pro,p-not_human,B10,the second trimester is when a baby feels pain
198,abortion,Pro,p-right,Y33,if abortion was not possible at all meaning whether illegal or not just not physically possible then i bet a lot of the women who desperately need them would kill themselves.
199,abortion,Pro,p-right,Y32,"abortion is and always be the woman's choice because it is her body, and not the government's, God's, The Church's or her significant other's."
200,abortion,Con,c-kill,U31,Abortion IS murder people there is no denying that and you can't prove its not.
201,abortion,Pro,p-sick_mom,U30,"As for adopting it out, why would a woman put her self through all the changes and pressure of being pregnant, then not keep the child especially if she knows she is in no way shape or form ready to go through the while experience?"
202,abortion,Pro,p-not_human,U30,It doesn't even truly exist yet. It hasn't been born into the world.
203,abortion,Pro,p-not_murder,U30,"If a woman had the baby then got rid of it, that's murder! NOT when it's still inside of her."
204,abortion,Con,c-baby_right,C18,plus a fudus if you want to call it that does have a mind or else it would not be able to curl its toes and suck it's thumb nor would it be able to grow!
205,abortion,Pro,p-not_human,C19,"A foetus has a brain, but it has no identity yet. A foetus is incomplete, like an empty shell."
206,abortion,Pro,p-not_human,N12,a fetus does not make up the whole of a human.
207,abortion,Pro,p-not_human,T5,When a fetus hasnt been born yet it isnt a person to me. If somethign cannot live without something for it to hook up to for life support it isnt alive. It isnt alive until it is born.
208,abortion,Con,c-kill,N13,"In the case of abortion it is killing the entire organism, akin to poisoning you to death."
209,abortion,Con,c-baby_right,N13,By all biological definitions it's an individual humans.
210,abortion,Con,c-kill,T4,Why should you kill a innocent baby?
211,abortion,Pro,p-not_human,K9,"A foetus when aborted 40% of the time isn't alive. It doesn't have a heart, 50% of the time it doesn't have a brain."
212,abortion,Pro,p-right,M35,it just means women getting the procedure in other ways that are often dangerous.
213,abortion,Pro,p-other,Q25,"People don't really choose to abort a child, they resort to it."
214,abortion,Con,c-kill,M34,My taxes WILL NOT pay for the MURDER of an unborn child.
215,abortion,Con,c-kill,F3,It is unnormal and immoral to kill a baby.
216,abortion,Pro,p-right,F2,If a mother wants to get pregnant and then abort it is her right to do so.
217,abortion,Pro,p-not_human,F2,A baby refers to the recently birthed
218,abortion,Con,c-adopt,O1,"As for not being able to sustain a baby financially, emotionally, or intellectually, adoption is an option"
219,abortion,Con,c-other,O1,I don't believe abortion should be used as a form of birth control as with upwards of 80% of the cases.
220,abortion,Pro,p-rape,O1,where rape is a contributing factor to where I would support a woman’s decision if she where to not go through with the pregnancy.
221,abortion,Pro,p-birth_ctrl,O1,"On the other hand, there are many instances where birth control has failed, cannot be taken due to allergies"
222,abortion,Con,c-sex,O1,There are ways to prevent pregnancy which are very effective and to me if a person ignores the use of birth control they should assume responsibility for their actions.
223,abortion,Pro,p-not_human,M42,The vast majority of women - 88% - who have an abortion do so in their first trimester.
224,abortion,Pro,p-other,M42,Abortion is a safe medical procedure.
225,abortion,Pro,p-sick_mom,O24,If a woman feels she isn't ready for a baby or doesn't have the means to take care of a baby or just doesn't wish to have a baby.
226,abortion,Pro,p-not_human,O24,Abortion is not murder - as it destroys a collection of cells that can't survive outside of the mother's womb before the 24th week.
227,abortion,Pro,p-other,O24,"Yet the American Psychological Association found that stress was greatest prior to an abortion, and that there was no evidence of post-abortion syndrome."
228,abortion,Pro,p-rape,M43,"In the case of rape or incest, forcing a woman made pregnant by this violent act would cause further psychological harm to the victim."
229,abortion,Pro,p-not_human,A4," Until the fetus can actually survive outside of the womb, it's a living organ like any other organ inside the woman's body"
230,abortion,Con,c-baby_right,A5," If it's human, and it is, then it deserves our full protection."
231,abortion,Pro,p-right,C26,"abortion is and always was the personal choice of the mother, since it is her body, and rationality dictates that an adult mind ought to have priority when compared to a developing mind."
232,abortion,Pro,p-not_human,C26,"Quite frankly, the newborn brain is still simple enough that I see no moral dilemma if the newborn must die for a rational reason"
233,abortion,Pro,p-not_murder,C26,it is not illegal to kill them. Therefore it is not murder
234,abortion,Pro,p-other,C26,"I suppose that holding a person's future in your hands and choosing to ruin their lives as some sort of moral lesson designed to teach that the arbitrary morals held by a particular group are rules of nature, is frankly ghastly"
235,abortion,Con,c-sex,C27,personal responsibility is a terrible thing...something we should never expect of anyone
236,abortion,Pro,p-right,S3,Abortion should be legal as it is the mother's decision to kill said baby
237,abortion,Con,c-kill,P6,"But in the case of abortion, this right does not apply because it does not only pertain to the woman's body, but the body of another human being still attached to her. No one should have the right to kill innocent people."
238,abortion,Con,c-baby_right,P6,"The fetus being killed most certainly has been started. It is a human being. It may not have any great capacity for intelligent thoughts or feelings, but neither do newborns. Is it OK to kill them too?"
239,abortion,Con,c-kill,R40,"Whether or not this is true, I believe it preferrable to murder."
240,abortion,Con,c-kill,P26,"most late-term abortions amount to clear infanticide, as the baby is actually living outside of the womb before it is killed."
241,abortion,Con,c-baby_right,P26,"At some point, the living thing inside a woman's womb becomes a human being. I do not believe this to be at conception, and I cannot define exactly when that point is. But it is fairly clear to me that it is not one instant before birth."
242,abortion,Con,c-adopt,P27,It shouldn't be legal there are ways the baby can have different parents that can raise it.
243,abortion,Pro,p-not_human,P7,"No one should have the right to kill innocent people.   The fetus, within the first trimester, is not a person."
244,abortion,Pro,p-not_murder,P7,"Conversely, when a woman chooses to abort the fetus, she is simply  dis allowing the fetus to continue living within her."
245,abortion,Pro,p-not_human,F9,"I believe abortion is 100% okay up until a certain point in the pregnancy, but during and after that point in the pregnancy, it's 100% wrong."
246,abortion,Pro,p-right,Y4,shouldn't people be able to have a choice in how to deal with such a life-altering event?
247,abortion,Pro,p-rape,Y5,What if the woman in question was a victim of rape or incest?
248,abortion,Pro,p-not_human,N19,"since the fetus is not a person, it would be fallacious to accrue the same rights to a fetus as you would any other person."
249,abortion,Con,c-baby_right,K3,Why is it not okay to murder a kid at lets say 12 but its okay to kill a baby before it is even born?
250,abortion,Pro,p-not_human,C12,"Infant brains are still critically forming, hence why they are so dependent upon us and only start learning language after at least the first year and motor function is under critical development.  Why would you assume that an infant has a fully aware mind at birth, much less the weeks before birth all the way down to the first twelve weeks of pregnancy?"
251,abortion,Con,c-baby_right,T33,A baby is a life. no one has the right to decide who lives and who dies.
252,abortion,Con,c-sex,T33,the parents should have been more careful if they didnt want a child
253,abortion,Con,c-kill,B1,Abortion is immoral.
254,abortion,Con,c-baby_right,B1, The growing fetus has a presumptive personality
255,abortion,Pro,p-not_human,S8,"When you have your abortion, the fetus has probably not even opened its eyes yet. It isn't a formed child! It is a fetus."
256,abortion,Pro,p-not_murder,S8,abortion is not killing a human child.
257,abortion,Pro,p-right,P18,It should be everyone's right to have an abortion because people should have the right to self determination when no other moral agent will be harmed by such actions.
258,abortion,Pro,p-not_human,P18,This is because the fetus doesnt develp consciousness until the onset of the third trimester - prior to this point (more than ~99% of all abortions occure in the 1st trimester) there is no moral status to the actions taken with regards to the preservation of the fetus.
259,abortion,Pro,p-right,P19,"If a 12 year old girl is raped and gets pregnant, do you really want that girl who isn't even a teenager yet to give birth? It is completely the girls choice."
260,abortion,Pro,p-mother_danger,P19,"You might say that there is always another adult who could adopt the child, but what about the act of giving birth? The biological mother could die during the process."
